Anio,CVE_ENT,CVE_MUN,Sexo,Edad,GpoCausa,ECNT,Casos,Poblacion,Prevalencia
2021,21,015,Mujer,Vejez,Enfermedades del sistema osteomuscular y del tejido conectivo,Artritis,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,Enfermedades del sistema respiratorio,Enfisema,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,Enfermedades del sistema nervioso,Alzheimer,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,Enfermedades del sistema circulatorio,Enfermedad del corazón,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedad de la tiroides,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,Enfermedades de la sangre y de los órganos hematopoyéticos y otros trastornos que afectan el mecanismo de la inmunidad,Anemia,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Vejez,Enfermedades del aparato genitourinario,Enfermedad renal,1,7585.806,0.13182514817805782
2021,21,015,Mujer,Adultez,Enfermedades del sistema osteomuscular y del tejido conectivo,Artritis,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Adultez,Enfermedades del sistema nervioso,Epilepsia,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Adultez,Enfermedades del aparato digestivo,Hígado graso,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Adultez,Enfermedades del aparato digestivo,Cirrosis hepática,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Adultez,Enfermedades del sistema circulatorio,Enfermedad del corazón,4,29700.37,0.13467845686770905
2021,21,015,Mujer,Adultez,Trastornos mentales y del comportamiento,Demencia,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Adultez,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedad de la tiroides,2,29700.37,0.06733922843385452
2021,21,015,Mujer,Adultez,Enfermedades de la sangre y de los órganos hematopoyéticos y otros trastornos que afectan el mecanismo de la inmunidad,Anemia,3,29700.37,0.1010088426507818
2021,21,015,Mujer,Adultez,Enfermedades del aparato genitourinario,Enfermedad renal,1,29700.37,0.03366961421692726
2021,21,015,Mujer,Pubertad,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Malformación congénita,1,5822.259,0.17175464025217702
2021,21,015,Mujer,Juventud,Enfermedades del sistema respiratorio,Asma,1,5629.407,0.1776386038529458
2021,21,015,Mujer,Infancia,Enfermedades del sistema respiratorio,Asma,1,5753.319,0.1738127157558967
2021,21,015,Mujer,Adolescencia,Enfermedades del sistema osteomuscular y del tejido conectivo,Osteomielitis,1,5813.665,0.17200853506350985
2021,21,015,Mujer,Adolescencia,Enfermedades del sistema respiratorio,Asma,2,5813.665,0.3440170701270197
2021,21,015,Mujer,Adolescencia,Enfermedades de la sangre y de los órganos hematopoyéticos y otros trastornos que afectan el mecanismo de la inmunidad,Anemia,1,5813.665,0.17200853506350985
2021,21,015,Mujer,Adolescencia,Enfermedades del aparato genitourinario,Enfermedad renal,1,5813.665,0.17200853506350985
2021,21,015,Hombre,Vejez,Enfermedades del sistema nervioso,Parkinson,1,6110.433,0.1636545233373805
2021,21,015,Hombre,Vejez,Enfermedades del sistema circulatorio,Enfermedad del corazón,1,6110.433,0.1636545233373805
2021,21,015,Hombre,Adultez,Enfermedades del sistema osteomuscular y del tejido conectivo,Osteomielitis,1,26555.717,0.037656674832014514
2021,21,015,Hombre,Adultez,Enfermedades del sistema respiratorio,Asma,1,26555.717,0.037656674832014514
